"","MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1","MCL1-DH_BC2CTUACXX_CAGATC_L002_R1","MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1","MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1","MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1","MCL1-DL_BC2CTUACXX_ATCACG_L002_R1","MCL1-LA_BC2CTUACXX_GATCAG_L001_R1","MCL1-LB_BC2CTUACXX_TGACCA_L001_R1","MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1","MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1","MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1","MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1"
"21419",10.3851049837815,10.3463909562404,10.3296853581316,10.7063954198283,11.0739089849144,11.4108077887281,10.5577308065127,10.2924783721532,7.68069838314296,6.27433356205442,7.53169493341506,7.31155404606238
"241035",2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616,3.12428935733666,4.37809838615069,4.72065520766173,3.52511109612823,2.51756139244616,2.51756139244616,2.51756139244616
"17215",10.0889556739344,9.96125169134981,9.26802021884501,8.90511709713132,7.28804823172802,7.02703334166002,10.4158630700893,10.0798419846354,10.0764210805547,8.63140748876963,9.93706636566477,10.0192135478034
"74229",7.02523105544784,7.21584881967304,6.56202502349887,6.47716936961651,6.47873221574598,6.37504752827194,5.1491398996096,5.23874886554319,3.52511109612823,3.99291303335497,3.30644028790486,3.30234070334364
"71877",6.30506894109943,6.23919418394702,5.39380321287708,6.09905573509062,6.44539577390564,6.49547815734542,5.18131491722027,5.23874886554319,3.67359069016292,4.45458088015682,4.20564617060129,4.19755408222372
"170829",6.94586642008085,6.67906044625321,6.01358451398391,6.35095664354813,6.70671458425005,6.69535819194773,6.67779467457248,6.38840706498224,6.00583138992636,6.27433356205442,6.65308644128743,6.71306440665698
"75712",5.67273069336342,6.2552000077377,6.22071586854124,6.81224797151464,6.67833253278273,6.80580490201221,5.46750571944329,5.56939611045813,3.67359069016292,4.52917282696928,4.0429908622601,3.8462062840711
"14859",3.55525780357778,3.28884030886342,3.45004754270035,3.65021413027569,4.14696476571427,3.8377222314562,3.78098423851888,3.92276698571728,5.38151299269032,6.75476915599632,6.28036542030114,6.16541161679267
"98582",3.04472903399899,3.06614493427131,3.06211459413567,3.32847869757394,3.36406419221135,3.7060837098493,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616
"226922",9.72513397766186,9.88274957314849,9.52887821219292,9.79899379578713,10.7289306939481,11.1759373087946,3.0470161811864,3.53003225992228,3.3456291783235,3.39344672716952,3.30644028790486,3.8462062840711
"116837",3.2590552399614,4.17084335564356,3.58839356458993,2.51756139244616,3.82959810910158,3.55378811570853,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616
"70155",8.22369543856841,8.17763154947528,9.02902416931677,8.56643779244222,8.70772275202595,8.72624143212538,11.3096559090127,11.1043391479734,12.7622845599202,12.6465040031999,12.3587839313863,12.2032840856142
"100503399",2.51756139244616,2.51756139244616,3.45004754270035,2.51756139244616,2.51756139244616,2.51756139244616,3.42473909966792,3.24067564193574,4.28255186040845,3.99291303335497,4.79835929335353,4.19755408222372
"280645",5.75863255235048,6.12181940682039,6.48402830331189,6.36735625008546,6.0825503744903,6.301381476121,5.61465672838507,5.77933879699429,6.28392773226587,6.67996410038599,6.24722788626988,6.53476241262086
"98366",9.1866550567694,9.42726731879834,9.47800812174196,9.58366454297567,9.63748334245224,9.58466442502294,8.5708379012496,8.72840607532246,9.20962312972136,9.21320174534544,9.65556422550177,9.59574326343616
"68002",6.45310819077851,6.173311242861,6.48402830331189,7.08370422240576,6.66392799912503,7.10463625102316,7.25908456204063,6.90543714811364,6.78179836843114,6.91983322796838,7.6995884977578,7.59709838138438
